"Grupo","Pieza","Cantidad","Largo(inch)","Ancho(inch)","Grosor(inch)","Material"
"Gypsum","Gypsum","1","75.23","62","0.5","White 1"
"Gypsum","Gypsum","1","63","58.43","0.5","White 1"
"Gypsum","Gypsum","1","52.93","5.5","0.5","White 1"
"Gypsum","Gypsum","1","52.93","6","0.5","White 1"
"Gypsum","Gypsum","1","83.4","73.5","0.5","White 1"
"Gypsum","Gypsum","1","83","5","0.5","White 1"
"Gypsum","Gypsum","2","83","6","0.5","White 1"
"Gypsum","Gypsum","1","83","5.5","0.5","White 1"
"Gypsum","Gypsum","1","83.4","6","0.5","White 1"
"Gypsum","Gypsum","1","133","6","0.5","White 1"
"Gypsum","Gypsum","1","133","5.5","0.5","White 1"
"Gypsum","Gypsum","1","82.9","19.3","0.5","White 1"
"Gypsum","Gypsum","2","133","6","0.5","White 1"
"Gypsum","Gypsum","1","83","10","0.5","White 1"
"Gypsum","Gypsum","1","83.6","5","0.5","White 1"
"Gypsum","Gypsum","1","62","28.77","0.5","White 1"
"Gypsum","Gypsum","3","83.5","6","0.5","White 1"
"Gypsum","Gypsum","1","62","5.9","0.5","White 1"
"Gypsum","Gypsum","1","62","6","0.5","White 1"
"Gypsum","Gypsum","1","63","6","0.5","White 1"
"Gypsum","Gypsum","1","84","5","0.5","White 1"
"Gypsum","Gypsum","1","63","5","0.5","White 1"
"Gypsum","Gypsum","1","84","5.5","0.5","White 1"
"Gypsum","Gypsum","2","51.77","5","0.5","White 1"
"Gypsum","Gypsum","1","83.1","5.5","0.5","White 1"
"Gypsum","Gypsum","1","84","6","0.5","White 1"
"Gypsum","Gypsum","1","46.77","6","0.5","White 1"
"Gypsum","Gypsum","1","46.77","5.5","0.5","White 1"
"Gypsum","Gypsum","2","62.5","6","0.5","White 1"
"Gypsum","Gypsum","2","23.5","5.5","0.5","White 1"
"Gypsum","Gypsum","1","62.5","5.5","0.5","White 1"
"Gypsum","Gypsum","1","63","5.5","0.5","White 1"
"Gypsum","Gypsum","1","62","29","0.5","White 1"
"Gypsum","Gypsum","2","62","5.5","0.5","White 1"
"Gypsum","Gypsum","2","23.93","5.5","0.5","White 1"
"Gypsum","Gypsum","1","52.43","5.5","0.5","White 1"
"Gypsum","Gypsum","1","52.43","6","0.5","White 1"
"Gypsum","Gypsum","1","46.27","6","0.5","White 1"
"Gypsum","Gypsum","1","51.77","5.5","0.5","White 1"
"Gypsum","Gypsum","1","75.23","62","0.5","White 1"
"Gypsum","Gypsum","1","63","58.43","0.5","White 1"
"Gypsum","Gypsum","1","52.93","5.5","0.5","White 1"
"Gypsum","Gypsum","1","52.93","6","0.5","White 1"
"Gypsum","Gypsum","1","83.4","73.5","0.5","White 1"
"Gypsum","Gypsum","1","83","5","0.5","White 1"
"Gypsum","Gypsum","2","83","6","0.5","White 1"
"Gypsum","Gypsum","1","83","5.5","0.5","White 1"
"Gypsum","Gypsum","1","83.4","6","0.5","White 1"
"Gypsum","Gypsum","1","133","6","0.5","White 1"
"Gypsum","Gypsum","1","133","5.5","0.5","White 1"
"Gypsum","Gypsum","1","82.9","19.3","0.5","White 1"
"Gypsum","Gypsum","2","133","6","0.5","White 1"
"Gypsum","Gypsum","1","83","10","0.5","White 1"
"Gypsum","Gypsum","1","83.6","5","0.5","White 1"
"Gypsum","Gypsum","1","62","28.77","0.5","White 1"
"Gypsum","Gypsum","3","83.5","6","0.5","White 1"
"Gypsum","Gypsum","1","62","5.9","0.5","White 1"
"Gypsum","Gypsum","1","62","6","0.5","White 1"
"Gypsum","Gypsum","1","63","6","0.5","White 1"
"Gypsum","Gypsum","1","84","5","0.5","White 1"
"Gypsum","Gypsum","1","63","5","0.5","White 1"
"Gypsum","Gypsum","1","84","5.5","0.5","White 1"
"Gypsum","Gypsum","2","51.77","5","0.5","White 1"
"Gypsum","Gypsum","1","83.1","5.5","0.5","White 1"
"Gypsum","Gypsum","1","84","6","0.5","White 1"
"Gypsum","Gypsum","1","46.77","6","0.5","White 1"
"Gypsum","Gypsum","1","46.77","5.5","0.5","White 1"
"Gypsum","Gypsum","2","62.5","6","0.5","White 1"
"Gypsum","Gypsum","2","23.5","5.5","0.5","White 1"
"Gypsum","Gypsum","1","62.5","5.5","0.5","White 1"
"Gypsum","Gypsum","1","63","5.5","0.5","White 1"
"Gypsum","Gypsum","1","62","29","0.5","White 1"
"Gypsum","Gypsum","2","62","5.5","0.5","White 1"
"Gypsum","Gypsum","2","23.93","5.5","0.5","White 1"
"Gypsum","Gypsum","1","52.43","5.5","0.5","White 1"
"Gypsum","Gypsum","1","52.43","6","0.5","White 1"
"Gypsum","Gypsum","1","46.27","6","0.5","White 1"
"Gypsum","Gypsum","1","51.77","5.5","0.5","White 1"
